VEHICLE TYPE  MODEL           YEAR  VIN NUMBER         CHASSIS(P)  CHASSIS(F)  CHASSIS(I)  CHASSIS(C)  ENGINE(P)  ENGINE(F)  ENGINE(I)  ENGINE(C)  TRANSM(P)  TRANSM(F)  TRANSM(I)  TRANSM(C)  BRAKES(P)  BRAKES(F)  BRAKES(I)  BRAKES(C)  TOTAL PASSED  TOTAL FAILED  TOTAL PROCES  TOTAL COMPLE  BUILD STATUS  WASTE
Car           Supra           2023  JTCJJEFA9N9126082  2           0           0           1           4          2          1          2          5          0          4          0          3          0          0          2          14            2             5             5             In-process    Yes
Car           Supra           2023  5TBSSCFA7NS129480  3           0           0           0           4          1          1          3          5          0          3          1          3          0          1          1          15            1             5             5             In-process    Yes
Van           Sienna          2023  JNMPPB7C8NR106813  2           0           0           1           5          2          3          3          7          0          4          2          5          0          3          1          19            2            10             7             Completed     Yes
Truck         Tundra Crewmax  2023  VNWPPD811N3128163  3           0           1           1           9          0          6          2         10          1          7          3          9          0          5          3          31            1            19             9             Completed     Yes
Car           Camry           2023  MNBYYC7K7NS123432  2           0           0           1           5          0          1          3          4          1          4          0          3          0          1          1          14            1             6             5             Completed     Yes
Truck         Tacoma Access   2023  8NLVVADN6N5109272  4           0           1           0          10          1          1          5          9          4          4          4          8          1          4          4          31            6            10            13             In-process    Yes
Truck         Tacoma Access   2023  3TZBBEFN9NK113233  3           0           2           0           9          0          4          4         11          1          3          6          8          1          3          5          31            2            12            15             In-process    Yes
Car           Prius           2023  6TCBBA7U5NA110227  2           0           1           0           5          0          1          3          8          0          0          1          3          0          1          1          18            0             3             5             In-process     No
Car           Supra           2023  1NBVVD0A6NE122642  1           1           0           1           5          0          2          2          3          2          3          1          2          1          2          0          11            4             7             4             Completed     Yes
Car           Supra           2023  5TAHHE1A7NE103724  2           0           1           0           6          0          2          1          5          0          3          1          2          1          1          1          15            1             7             3             In-process    Yes
Truck         Tacoma Access   2023  SNBHHC0N5N8128264  3           0           2           0           8          1          6          2         10          1          4          6          9          0          3          5          30            2            15            13             Completed     Yes
SUV           Highlander      2023  3NYVVBDA2NK109697  2           0           1           0           4          1          1          3          9          0          3          5          7          0          4          2          22            1             9            10             Completed     Yes
SUV           Highlander      2023  VTYLLB3A3NN125818  1           1           0           1           5          0          1          3          9          0          5          3          6          1          4          2          21            2            10             9             Completed     Yes
Car           Prius           2023  1TASSE3U8NK112380  2           0           0           1           7          1          0          1          4          1          3          1          1          2          0          2          14            4             3             5             In-process    Yes
Van           Sienna          2023  MNMTTADC8N2120635  2           0           0           1           6          2          4          1          6          1          2          4          4          1          2          2          18            4             8             8             In-process    Yes
Truck         Tacoma Access   2023  VTBBBB0N8NK116374  3           0           1           1          10          0          3          4          9          2          7          3          9          0          2          6          31            2            13            14             In-process    Yes
Truck         Tundra Crewmax  2023  4THJJDD14NN121053  3           0           1           1           9          2          3          3          8          3          3          7          8          1          4          4          28            6            11            15             In-process    Yes
